### UNIX-Timestamp, Date/Time, Discharge(Wh), Charge(Wh), Production(Wh), Consumption(Wh), Feed-in(Wh), From grid(Wh), State of Charge(%)
1577357640,26.12.2019 11:54:00,0,15.33,19.05,0,3.72,0,76
1577357700,26.12.2019 11:55:00,0,15.3,19.02,0,3.72,0,76
1577357940,26.12.2019 11:59:00,0,66.2,75.8,0,9.6,0,76
1577358000,26.12.2019 12:00:00,0,15.53,18.9,0,3.37,0,76
1577358360,26.12.2019 12:06:00,0,15.83,18.75,0,2.92,0,77
1577358600,26.12.2019 12:10:00,0,60.87,74.93,0,14.06,0,77
1577358660,26.12.2019 12:11:00,0,15.63,18.72,0,3.09,0,78
1577359020,26.12.2019 12:17:00,0,15,18.65,0.6,3.05,0,78
1577359080,26.12.2019 12:18:00,0,15,18.63,0.58,3.05,0,78
1577359140,26.12.2019 12:19:00,0,14.92,18.6,0.6,3.08,0,78
1577359500,26.12.2019 12:25:00,0,15,18.45,0.47,2.98,0,80
1577360580,26.12.2019 12:43:00,0,15.12,17.7,0,2.58,0,81
1577360760,26.12.2019 12:46:00,0,45,52.55,0,7.55,0,81
1577360820,26.12.2019 12:47:00,0,15,17.5,0,2.5,0,82
1577361300,26.12.2019 12:55:00,0,29.27,34.27,33.03,0,28.03,82
1577361360,26.12.2019 12:56:00,0,14.72,17.07,16.47,0,14.12,82
1577361420,26.12.2019 12:57:00,0,14.95,17.03,7.95,0,5.87,82
1577361600,26.12.2019 13:00:00,0,41,50.85,43.4,0,33.55,83
1577361660,26.12.2019 13:01:00,0,14.83,16.87,14.48,0,12.44,83
1577361720,26.12.2019 13:02:00,0,15,16.82,9.75,0,7.93,83
1577361780,26.12.2019 13:03:00,0,15,16.78,0.67,1.11,0,83
1577361840,26.12.2019 13:04:00,0,15,16.73,0.77,0.96,0,83
1577361900,26.12.2019 13:05:00,0,15,16.67,0.73,0.94,0,83
1577361960,26.12.2019 13:06:00,0,15,16.62,0.65,0.97,0,83
1577362380,26.12.2019 13:13:00,0,15,16.23,1.52,0,0.29,84
1577362440,26.12.2019 13:14:00,0,15,16.17,0.75,0.42,0,84
1577362620,26.12.2019 13:17:00,0,45,47.9,2.3,0.6,0,84
1577362980,26.12.2019 13:23:00,0,15,15.58,0.7,0,0.12,86
1577363220,26.12.2019 13:27:00,0,59.8,61.47,0,1.67,0,86
1577363280,26.12.2019 13:28:00,0,14.87,15.3,0,0.43,0,86
1577363460,26.12.2019 13:31:00,0,44.65,45.25,0,0.6,0,86
1577363520,26.12.2019 13:32:00,0,14.47,15,0,0.53,0,86
1577363580,26.12.2019 13:33:00,0,14.87,14.92,0,0.05,0,87
1577363640,26.12.2019 13:34:00,0,15,14.87,0,0,0.13,87
1577364000,26.12.2019 13:40:00,0,15,14.38,0,0,0.62,87
1577364060,26.12.2019 13:41:00,0,15,14.28,0,0,0.72,87
1577364120,26.12.2019 13:42:00,0,15,14.23,0,0,0.77,87
1577364480,26.12.2019 13:48:00,0,15,13.77,0,0,1.23,88
1577364540,26.12.2019 13:49:00,0,15,13.68,0,0,1.32,88
1577364720,26.12.2019 13:52:00,0,44.1,40.4,0,0,3.7,88
1577364840,26.12.2019 13:54:00,0,30.6,26.7,1.1,0,5,89
1577365080,26.12.2019 13:58:00,0,60,52.07,12.53,0,20.46,89
1577365440,26.12.2019 14:04:00,0,15.05,12.48,1.12,0,3.69,90
1577365560,26.12.2019 14:06:00,0,30.33,24.63,5.93,0,11.63,90
1577365620,26.12.2019 14:07:00,0,15.13,12.22,3.3,0,6.21,90
1577365680,26.12.2019 14:08:00,0,15.28,12.13,3.28,0,6.43,90
1577366100,26.12.2019 14:15:00,0,33.33,23.07,18.1,0,28.36,92
1577366160,26.12.2019 14:16:00,0,16.12,11.47,11.37,0,16.02,92
1577366220,26.12.2019 14:17:00,0,15.97,11.37,8.07,0,12.67,92
1577366280,26.12.2019 14:18:00,0,15.38,11.28,0.35,0,4.45,92
1577366340,26.12.2019 14:19:00,0,16.2,11.18,0.68,0,5.7,93
1577366400,26.12.2019 14:20:00,0,15.37,11.12,21.2,0,25.45,93
1577366460,26.12.2019 14:21:00,0,16.22,11.02,0.13,0,5.33,93
1577366580,26.12.2019 14:23:00,0,30.43,21.67,27.87,0,36.63,93
1577366640,26.12.2019 14:24:00,0,15.13,10.73,14.98,0,19.38,93
1577366760,26.12.2019 14:26:00,0,36.9,21.13,2.03,0,17.8,93
1577366820,26.12.2019 14:27:00,0,21.67,10.47,1.23,0,12.43,93
1577366940,26.12.2019 14:29:00,0,44.27,20.57,2.77,0,26.47,93
1577367000,26.12.2019 14:30:00,0,21.88,10.2,1.63,0,13.31,93
1577367120,26.12.2019 14:32:00,0,45.27,20.03,30.13,0,55.37,93
1577367180,26.12.2019 14:33:00,0,22.12,9.92,15.2,0,27.4,93
1577367240,26.12.2019 14:34:00,0,22.12,9.82,15.48,0,27.78,93
1577367360,26.12.2019 14:36:00,0,55.5,19.2,3.23,0,39.53,93
1577367480,26.12.2019 14:38:00,0,43.33,18.83,36.87,0,61.37,93
1577367540,26.12.2019 14:39:00,0,21.72,9.32,18.45,0,30.85,93
1577367600,26.12.2019 14:40:00,0,23.12,9.22,18.4,0,32.3,93
1577367720,26.12.2019 14:42:00,0,43.33,18.03,36.8,0,62.1,93
1577367780,26.12.2019 14:43:00,0,22,8.93,18.45,0,31.52,93
1577367960,26.12.2019 14:46:00,0,32.65,25.9,12.95,0,19.7,96
1577368020,26.12.2019 14:47:00,0,9.8,8.53,8.8,0,10.07,96
1577368080,26.12.2019 14:48:00,0,11.03,8.43,2.9,0,5.5,96
1577368140,26.12.2019 14:49:00,0,10.08,8.33,7.42,0,9.17,96
1577368200,26.12.2019 14:50:00,0,5.83,8.25,6.83,0,4.41,100
1577368260,26.12.2019 14:51:00,0,0,8.15,2.92,5.23,0,100
1577368320,26.12.2019 14:52:00,0,0,8.03,6.88,1.15,0,100
1577368380,26.12.2019 14:53:00,0,0,7.93,6.88,1.05,0,100
1577368440,26.12.2019 14:54:00,0,0,7.83,2.92,4.91,0,100
1577368500,26.12.2019 14:55:00,0,0,7.73,2.92,4.81,0,100
1577368560,26.12.2019 14:56:00,0,0,7.63,7.43,0.2,0,100
1577368800,26.12.2019 15:00:00,0,0,29,10.73,18.27,0,100
1577368860,26.12.2019 15:01:00,0,0,7.15,2.7,4.45,0,100
1577369040,26.12.2019 15:04:00,0,0,20.6,4.95,15.65,0,100
1577369100,26.12.2019 15:05:00,0,0,6.75,1.65,5.1,0,100
1577369220,26.12.2019 15:07:00,0,0,13.17,3.6,9.57,0,100
1577369400,26.12.2019 15:10:00,0,0,18.85,4.55,14.3,0,100
1577369580,26.12.2019 15:13:00,0,0,17.9,4.5,13.4,0,100
1577369760,26.12.2019 15:16:00,0,0,17.15,3.9,13.25,0,100
1577369880,26.12.2019 15:18:00,0,0,11.03,1.93,9.1,0,100
1577369940,26.12.2019 15:19:00,0,0,5.38,0.98,4.4,0,100
1577370060,26.12.2019 15:21:00,0,0,10.23,1.97,8.26,0,100
1577370120,26.12.2019 15:22:00,0,0,5,1,4,0,100
