Date,Cost($)
8/1/18,40984.06
7/1/18,40436.75
6/1/18,23381.8
5/1/18,8417.85
4/1/18,7481.66
3/1/18,722.1
2/1/18,5999.07
1/1/18,10649.27
12/1/17,9293.87
11/1/17,17655.39
10/1/17,10308.87
9/1/17,16483.19
8/1/17,22318.12
7/1/17,21425.24
6/1/17,8504.65
5/1/17,16538.56
5/1/17,19427.38
4/1/17,15461.42
3/1/17,12466.91
2/1/17,13089.55
1/1/17,11659.99
12/1/16,13839.13
11/1/16,21910.49
10/1/16,26468.05
9/1/16,32932.31
8/1/16,40247.26
7/1/16,34647.1
6/1/16,31481.05
5/1/16,16624.76
4/1/16,12348.06
3/1/16,13494.26
2/1/16,11759.22
1/1/16,10677.36
