Date,On-Peak Demand (kW),Part-Peak Demand (kW),Off-Peak Demand (kW)
8/1/18,665,0,682
7/1/18,707,0,680
6/1/18,676,0,665
5/1/18,665,658,666
4/1/18,0,669,675
3/1/18,0,295,280
2/1/18,0,267,297
1/1/18,0,257,296
12/1/17,0,253,312
11/1/17,412,275,433
10/1/17,409,0,414
9/1/17,412,0,458
8/1/17,444,0,451
7/1/17,461,449,452
6/1/17,436,433,450
5/1/17,394,453,411
4/1/17,0,419,374
3/1/17,0,245,297
2/1/17,0,252,294
1/1/17,0,231,285
12/1/16,0,394,343
11/1/16,389,365,402
10/1/16,408,408,401
9/1/16,463,440,456
8/1/16,460,455,454
7/1/16,450,437,449
6/1/16,436,409,422
5/1/16,416,441,436
4/1/16,0,362,346
3/1/16,0,289,298
2/1/16,0,254,304
1/1/16,0,230,273
