"Date & Time","Usage [kW]","Generation [kW]","L1 Voltage [V]","L2 Voltage [V]","POWER [kW]","POWER* [kVA]","POWER-FACTOR []","LIGHTS [A]","MICROWAVE [A]","KITCHEN1 [A]","DRYER [A]","HEATING1 [A]","RANGE2 [A]","BATHROOM [A]","WASHER [A]","AC [A]","DISHWASHER [A]","MAINS1 [A]","MAINS2 [A]"
2019-12-06 17:02:00,-0.066983333,-0.000000000,120.976939079,122.439605816,-0.066983333,0.184183333,0.363766684,0.743100035,0.146483340,0.149783340,0.150416674,0.145033340,0.176283342,0.144400007,0.144066674,0.145016674,0.142066673,0.936666711,0.574416694
2019-12-06 17:01:00,-0.066583333,-0.000000000,121.181405756,122.388522480,-0.066583333,0.185016667,0.360000017,0.743166702,0.146500007,0.149850007,0.152116674,0.147833340,0.177300008,0.141366673,0.144183340,0.145383340,0.141200007,0.941483378,0.575966694
2019-12-06 17:00:00,-0.066816667,-0.000000000,121.000189081,122.455389150,-0.066816667,0.184850000,0.361616684,0.745233369,0.146400007,0.148766674,0.150866674,0.146166674,0.176500008,0.143150007,0.143733340,0.145233340,0.140366673,0.944016712,0.572400027
2019-12-06 16:59:00,-0.066950000,-0.000000000,121.084005751,122.533155820,-0.066950000,0.185616667,0.360916684,0.744300035,0.147266674,0.149400007,0.149333340,0.145516674,0.177816675,0.142533340,0.143666673,0.146016674,0.140550007,0.940883378,0.580666694
2019-12-06 16:58:00,-0.067483333,-0.000000000,121.196139090,122.553805821,-0.067483333,0.186000000,0.362883351,0.744966702,0.148250007,0.147866674,0.150816674,0.146116674,0.176483342,0.142766673,0.144000007,0.144366674,0.139416673,0.944000045,0.580116694
2019-12-06 16:57:00,-0.067616667,-0.000000000,121.116105753,122.491855818,-0.067616667,0.185700000,0.364200017,0.747016702,0.146700007,0.149300007,0.148816674,0.144783340,0.176700008,0.143800007,0.144050007,0.144316674,0.140933340,0.943716711,0.578633361
2019-12-06 16:56:00,-0.067416667,-0.000000000,121.134822420,122.410322481,-0.067416667,0.185783333,0.363066684,0.747966702,0.145700007,0.149666674,0.151216674,0.148333340,0.176466675,0.142916673,0.143650007,0.146533340,0.142083340,0.941950045,0.581816694
2019-12-06 16:55:00,-0.068050000,-0.000000000,121.293422428,122.293889142,-0.068050000,0.185750000,0.366516684,0.749366702,0.147066674,0.150833340,0.149750007,0.146466674,0.177183342,0.141300007,0.145616674,0.146000007,0.140583340,0.948483378,0.575133361
2019-12-06 16:54:00,-0.067833333,-0.000000000,121.355822431,122.381689146,-0.067833333,0.186316667,0.364200017,0.752433369,0.147150007,0.150350007,0.150166674,0.146100007,0.176383342,0.142583340,0.144300007,0.146916674,0.141100007,0.950150045,0.577216694
2019-12-06 16:53:00,-0.067483333,-0.000000000,121.675705779,122.354172478,-0.067483333,0.185816667,0.363316684,0.749600036,0.147283340,0.150033340,0.150983341,0.147000007,0.175533342,0.140850007,0.145533340,0.146433340,0.140316673,0.943750045,0.577966694
2019-12-06 16:52:00,-0.066983333,-0.000000000,121.788672451,122.347822478,-0.066983333,0.185183333,0.361816684,0.743883369,0.146383340,0.147950007,0.149733340,0.145500007,0.176416675,0.143366673,0.142916673,0.145983340,0.140066673,0.940816711,0.575383361
2019-12-06 16:51:00,-0.067066667,-0.000000000,121.869455788,122.358272478,-0.067066667,0.185750000,0.361133350,0.747333369,0.146000007,0.148916674,0.151133341,0.146683340,0.179566675,0.141350007,0.144150007,0.147183340,0.142050007,0.943250045,0.577200027
2019-12-06 16:50:00,-0.068700000,-0.000000000,121.982705794,122.392839147,-0.068700000,0.187183333,0.367083351,0.758016703,0.146983340,0.147733340,0.150516674,0.147200007,0.176933342,0.143450007,0.145550007,0.145333340,0.141683340,0.953083379,0.578233361
