"Series";"Time";"Value"
"iot-devices.Temp1";"2019-06-30T23:30:00-07:00";65.3
"iot-devices.Temp1";"2019-07-01T00:00:00-07:00";65.45
"iot-devices.Temp1";"2019-07-01T00:30:00-07:00";65.42
"iot-devices.Temp1";"2019-07-01T01:00:00-07:00";64.78999999999999
"iot-devices.Temp1";"2019-07-01T01:30:00-07:00";63.92000000000001
"iot-devices.Temp1";"2019-07-01T02:00:00-07:00";62.81
"iot-devices.Temp1";"2019-07-01T02:30:00-07:00";62.330000000000005
"iot-devices.Temp1";"2019-07-01T03:00:00-07:00";61.52000000000001
"iot-devices.Temp1";"2019-07-01T03:30:00-07:00";60.56
"iot-devices.Temp1";"2019-07-01T04:00:00-07:00";60.529999999999994
"iot-devices.Temp1";"2019-07-01T04:30:00-07:00";59.96000000000001
"iot-devices.Temp1";"2019-07-01T05:00:00-07:00";58.669999999999995
"iot-devices.Temp1";"2019-07-01T05:30:00-07:00";57.59
"iot-devices.Temp1";"2019-07-01T06:00:00-07:00";57.440000000000005
"iot-devices.Temp1";"2019-07-01T06:30:00-07:00";58.34
"iot-devices.Temp1";"2019-07-01T07:00:00-07:00";60.47
"iot-devices.Temp1";"2019-07-01T07:30:00-07:00";63.86000000000001
"iot-devices.Temp1";"2019-07-01T08:00:00-07:00";67.52
"iot-devices.Temp1";"2019-07-01T08:30:00-07:00";71.11999999999999
"iot-devices.Temp1";"2019-07-01T09:00:00-07:00";73.73
"iot-devices.Temp1";"2019-07-01T09:30:00-07:00";76.19
"iot-devices.Temp1";"2019-07-01T10:00:00-07:00";78.35000000000001
"iot-devices.Temp1";"2019-07-01T10:30:00-07:00";80.18
"iot-devices.Temp1";"2019-07-01T11:00:00-07:00";81.8
"iot-devices.Temp1";"2019-07-01T11:30:00-07:00";82.94000000000001
"iot-devices.Temp1";"2019-07-01T12:00:00-07:00";84.44
"iot-devices.Temp1";"2019-07-01T12:30:00-07:00";86.18
"iot-devices.Temp1";"2019-07-01T13:00:00-07:00";87.56
"iot-devices.Temp1";"2019-07-01T13:30:00-07:00";88.73
"iot-devices.Temp1";"2019-07-01T14:00:00-07:00";89.65999999999998
"iot-devices.Temp1";"2019-07-01T14:30:00-07:00";89.84000000000002
"iot-devices.Temp1";"2019-07-01T15:00:00-07:00";89.93
"iot-devices.Temp1";"2019-07-01T15:30:00-07:00";89.83999999999999
"iot-devices.Temp1";"2019-07-01T16:00:00-07:00";89.60000000000001
"iot-devices.Temp1";"2019-07-01T16:30:00-07:00";89.42
"iot-devices.Temp1";"2019-07-01T17:00:00-07:00";88.94
"iot-devices.Temp1";"2019-07-01T17:30:00-07:00";88.37
"iot-devices.Temp1";"2019-07-01T18:00:00-07:00";87.64999999999999
"iot-devices.Temp1";"2019-07-01T18:30:00-07:00";86.24000000000001
"iot-devices.Temp1";"2019-07-01T19:00:00-07:00";83.69
"iot-devices.Temp1";"2019-07-01T19:30:00-07:00";81.44
"iot-devices.Temp1";"2019-07-01T20:00:00-07:00";78.11
"iot-devices.Temp1";"2019-07-01T20:30:00-07:00";74.66000000000001
"iot-devices.Temp1";"2019-07-01T21:00:00-07:00";71.92999999999999
"iot-devices.Temp1";"2019-07-01T21:30:00-07:00";70.52
"iot-devices.Temp1";"2019-07-01T22:00:00-07:00";68.69
"iot-devices.Temp1";"2019-07-01T22:30:00-07:00";66.55999999999999
"iot-devices.Temp1";"2019-07-01T23:00:00-07:00";66.26
"iot-devices.Temp1";"2019-07-01T23:30:00-07:00";65.89999999999999
"iot-devices.Temp1";"2019-07-02T00:00:00-07:00";65
"iot-devices.Temp1";"2019-07-02T00:30:00-07:00";63.59
"iot-devices.Temp1";"2019-07-02T01:00:00-07:00";62.75
"iot-devices.Temp1";"2019-07-02T01:30:00-07:00";62.300000000000004
"iot-devices.Temp1";"2019-07-02T02:00:00-07:00";61.664
"iot-devices.Temp1";"2019-07-02T02:30:00-07:00";61.25
"iot-devices.Temp1";"2019-07-02T03:00:00-07:00";60.589999999999996
"iot-devices.Temp1";"2019-07-02T03:30:00-07:00";59.36000000000001
"iot-devices.Temp1";"2019-07-02T04:00:00-07:00";59.09
"iot-devices.Temp1";"2019-07-02T04:30:00-07:00";59.18
"iot-devices.Temp1";"2019-07-02T05:00:00-07:00";58.52
"iot-devices.Temp1";"2019-07-02T05:30:00-07:00";58.160000000000004
"iot-devices.Temp1";"2019-07-02T06:00:00-07:00";58.550000000000004
"iot-devices.Temp1";"2019-07-02T06:30:00-07:00";59.57
"iot-devices.Temp1";"2019-07-02T07:00:00-07:00";61.64000000000001
"iot-devices.Temp1";"2019-07-02T07:30:00-07:00";65.17999999999999
"iot-devices.Temp1";"2019-07-02T08:00:00-07:00";69.83
"iot-devices.Temp1";"2019-07-02T08:30:00-07:00";72.89
"iot-devices.Temp1";"2019-07-02T09:00:00-07:00";74.62400000000001
"iot-devices.Temp1";"2019-07-02T09:30:00-07:00";77.06
"iot-devices.Temp1";"2019-07-02T10:00:00-07:00";78.83
