"Series";"Time";"Value"
"iot-devices.Temp1";"2019-06-03T23:40:00-07:00";72.14
"iot-devices.Temp1";"2019-06-04T00:00:00-07:00";72.13999999999999
"iot-devices.Temp1";"2019-06-04T00:20:00-07:00";71.55499999999999
"iot-devices.Temp1";"2019-06-04T00:40:00-07:00";71.78
"iot-devices.Temp1";"2019-06-04T01:00:00-07:00";70.835
"iot-devices.Temp1";"2019-06-04T01:20:00-07:00";70.61
"iot-devices.Temp1";"2019-06-04T01:40:00-07:00";70.38499999999999
"iot-devices.Temp1";"2019-06-04T02:00:00-07:00";70.115
"iot-devices.Temp1";"2019-06-04T02:20:00-07:00";69.53
"iot-devices.Temp1";"2019-06-04T02:40:00-07:00";69.305
"iot-devices.Temp1";"2019-06-04T03:00:00-07:00";69.395
"iot-devices.Temp1";"2019-06-04T03:20:00-07:00";69.035
"iot-devices.Temp1";"2019-06-04T03:40:00-07:00";68.765
"iot-devices.Temp1";"2019-06-04T04:00:00-07:00";68.36
"iot-devices.Temp1";"2019-06-04T04:20:00-07:00";67.77499999999999
"iot-devices.Temp1";"2019-06-04T04:40:00-07:00";67.235
"iot-devices.Temp1";"2019-06-04T05:00:00-07:00";67.1
"iot-devices.Temp1";"2019-06-04T05:20:00-07:00";67.28
"iot-devices.Temp1";"2019-06-04T05:40:00-07:00";67.775
"iot-devices.Temp1";"2019-06-04T06:00:00-07:00";69.35
"iot-devices.Temp1";"2019-06-04T06:20:00-07:00";69.395
"iot-devices.Temp1";"2019-06-04T06:40:00-07:00";70.475
"iot-devices.Temp1";"2019-06-04T07:00:00-07:00";71.73499999999999
"iot-devices.Temp1";"2019-06-04T07:20:00-07:00";73.39999999999999
"iot-devices.Temp1";"2019-06-04T07:40:00-07:00";74.75
"iot-devices.Temp1";"2019-06-04T08:00:00-07:00";76.46
"iot-devices.Temp1";"2019-06-04T08:20:00-07:00";78.305
"iot-devices.Temp1";"2019-06-04T08:40:00-07:00";79.7
"iot-devices.Temp1";"2019-06-04T09:00:00-07:00";80.77999999999999
"iot-devices.Temp1";"2019-06-04T09:20:00-07:00";82.22
"iot-devices.Temp1";"2019-06-04T09:40:00-07:00";83.21000000000001
"iot-devices.Temp1";"2019-06-04T10:00:00-07:00";84.42500000000001
"iot-devices.Temp1";"2019-06-04T10:20:00-07:00";85.145
"iot-devices.Temp1";"2019-06-04T10:40:00-07:00";85.46
"iot-devices.Temp1";"2019-06-04T11:00:00-07:00";86.09
"iot-devices.Temp1";"2019-06-04T11:20:00-07:00";87.35000000000001
"iot-devices.Temp1";"2019-06-04T11:40:00-07:00";88.925
"iot-devices.Temp1";"2019-06-04T12:00:00-07:00";90.36500000000001
"iot-devices.Temp1";"2019-06-04T12:20:00-07:00";91.625
"iot-devices.Temp1";"2019-06-04T12:40:00-07:00";91.75999999999999
"iot-devices.Temp1";"2019-06-04T13:00:00-07:00";92.525
"iot-devices.Temp1";"2019-06-04T13:20:00-07:00";93.065
"iot-devices.Temp1";"2019-06-04T13:40:00-07:00";93.065
"iot-devices.Temp1";"2019-06-04T14:00:00-07:00";93.19999999999999
"iot-devices.Temp1";"2019-06-04T14:20:00-07:00";93.425
"iot-devices.Temp1";"2019-06-04T14:40:00-07:00";93.785
"iot-devices.Temp1";"2019-06-04T15:00:00-07:00";94.41499999999999
"iot-devices.Temp1";"2019-06-04T15:20:00-07:00";95.135
"iot-devices.Temp1";"2019-06-04T15:40:00-07:00";95.18
"iot-devices.Temp1";"2019-06-04T16:00:00-07:00";95.31500000000001
"iot-devices.Temp1";"2019-06-04T16:20:00-07:00";95
"iot-devices.Temp1";"2019-06-04T16:40:00-07:00";94.82
"iot-devices.Temp1";"2019-06-04T17:00:00-07:00";94.72999999999999
"iot-devices.Temp1";"2019-06-04T17:20:00-07:00";94.19000000000001
"iot-devices.Temp1";"2019-06-04T17:40:00-07:00";93.56
"iot-devices.Temp1";"2019-06-04T18:00:00-07:00";93.15499999999999
"iot-devices.Temp1";"2019-06-04T18:20:00-07:00";92.61500000000001
"iot-devices.Temp1";"2019-06-04T18:40:00-07:00";92.03
"iot-devices.Temp1";"2019-06-04T19:00:00-07:00";91.13000000000001
"iot-devices.Temp1";"2019-06-04T19:20:00-07:00";89.82499999999999
"iot-devices.Temp1";"2019-06-04T19:40:00-07:00";88.34
"iot-devices.Temp1";"2019-06-04T20:00:00-07:00";86.81
"iot-devices.Temp1";"2019-06-04T20:20:00-07:00";84.875
"iot-devices.Temp1";"2019-06-04T20:40:00-07:00";82.85
"iot-devices.Temp1";"2019-06-04T21:00:00-07:00";81.995
"iot-devices.Temp1";"2019-06-04T21:20:00-07:00";81.27499999999999
"iot-devices.Temp1";"2019-06-04T21:40:00-07:00";81.095
"iot-devices.Temp1";"2019-06-04T22:00:00-07:00";80.24
"iot-devices.Temp1";"2019-06-04T22:20:00-07:00";78.89
"iot-devices.Temp1";"2019-06-04T22:40:00-07:00";78.035
"iot-devices.Temp1";"2019-06-04T23:00:00-07:00";77.495
