Time,Normalized RegA Signal Test Wave  (MW),Reg
0:00,0,0
0:02,0.001,8
0:04,0.003,24
0:06,0.004,32
0:08,0.006,48
0:10,0.008,64
0:12,0.009,72
0:14,0.011,88
0:16,0.013,104
0:18,0.015,120
0:20,0.016,128
0:22,0.018,144
0:24,0.02,160
0:26,0.022,176
0:28,0.024,192
0:30,0.027,216
0:32,0.029,232
0:34,0.031,248
0:36,0.033,264
0:38,0.035,280
0:40,0.038,304
0:42,0.04,320
0:44,0.042,336
0:46,0.045,360
0:48,0.047,376
0:50,0.049,392
0:52,0.052,416
0:54,0.054,432
0:56,0.056,448
0:58,0.059,472
1:00,0.061,488
1:02,0.063,504
1:04,0.066,528
1:06,0.068,544
1:08,0.07,560
1:10,0.073,584
1:12,0.076,608
1:14,0.078,624
1:16,0.081,648
1:18,0.084,672
1:20,0.087,696
1:22,0.089,712
1:24,0.092,736
1:26,0.094,752
1:28,0.097,776
1:30,0.099,792
1:32,0.102,816
1:34,0.104,832
1:36,0.106,848
1:38,0.108,864
1:40,0.11,880
1:42,0.112,896
1:44,0.115,920
1:46,0.117,936
1:48,0.119,952
1:50,0.121,968
1:52,0.123,984
1:54,0.125,1000
1:56,0.126,1008
1:58,0.128,1024
2:00,0.13,1040
2:02,0.131,1048
2:04,0.132,1056
2:06,0.134,1072
2:08,0.135,1080
2:10,0.136,1088
2:12,0.137,1096
2:14,0.138,1104
2:16,0.139,1112
2:18,0.139,1112
2:20,0.14,1120
2:22,0.141,1128
2:24,0.141,1128
2:26,0.142,1136
2:28,0.142,1136
2:30,0.142,1136
2:32,0.143,1144
2:34,0.143,1144
2:36,0.143,1144
2:38,0.143,1144
2:40,0.144,1152
2:42,0.144,1152
2:44,0.144,1152
2:46,0.144,1152
2:48,0.145,1160
2:50,0.145,1160
2:52,0.145,1160
2:54,0.145,1160
2:56,0.145,1160
2:58,0.146,1168
3:00,0.146,1168
3:02,0.146,1168
3:04,0.146,1168
3:06,0.146,1168
3:08,0.146,1168
3:10,0.146,1168
3:12,0.146,1168
3:14,0.146,1168
3:16,0.146,1168
3:18,0.146,1168
3:20,0.145,1160
3:22,0.145,1160
3:24,0.145,1160
3:26,0.145,1160
3:28,0.145,1160
3:30,0.144,1152
3:32,0.144,1152
3:34,0.144,1152
3:36,0.143,1144
3:38,0.143,1144
3:40,0.142,1136
3:42,0.142,1136
3:44,0.141,1128
3:46,0.141,1128
3:48,0.14,1120
3:50,0.14,1120
3:52,0.139,1112
3:54,0.139,1112
3:56,0.138,1104
3:58,0.138,1104
4:00,0.137,1096
4:02,0.137,1096
4:04,0.136,1088
4:06,0.136,1088
4:08,0.135,1080
4:10,0.134,1072
4:12,0.134,1072
4:14,0.133,1064
4:16,0.132,1056
4:18,0.132,1056
4:20,0.13,1040
4:22,0.128,1024
4:24,0.125,1000
4:26,0.123,984
4:28,0.12,960
4:30,0.119,952
4:32,0.115,920
4:34,0.112,896
4:36,0.1,800
4:38,0.087,696
4:40,0.084,672
4:42,0.08,640
4:44,0.076,608
4:46,0.072,576
4:48,0.068,544
4:50,0.062,496
4:52,0.059,472
4:54,0.052,416
4:56,0.048,384
4:58,0.041,328
5:00,0.035,280
5:02,0.032,256
5:04,0.028,224
5:06,0.024,192
5:08,0.022,176
5:10,0.02,160
5:12,0.018,144
5:14,0.016,128
5:16,0.014,112
5:18,0.012,96
5:20,0.01,80
5:22,0.009,72
5:24,0.008,64
5:26,0.007,56
5:28,0.006,48
5:30,0.005,40
5:32,0.004,32
5:34,0.003,24
5:36,0.002,16
5:38,0.001,8
5:40,0,0
5:42,0,0
5:44,0,0
5:46,0,0
5:48,0,0
5:50,0,0
5:52,0,0
5:54,0,0
5:56,0,0
5:58,0,0
6:00,0,0
6:02,0,0
6:04,0,0
6:06,0,0
6:08,0,0
6:10,0,0
6:12,0,0
6:14,0,0
6:16,0,0
6:18,0,0
6:20,0,0
6:22,0,0
6:24,0,0
6:26,0,0
6:28,0,0
6:30,0,0
6:32,0,0
6:34,0,0
6:36,0,0
6:38,0,0
6:40,0,0
6:42,0,0
6:44,0,0
6:46,0,0
6:48,0,0
6:50,0,0
6:52,0,0
6:54,0,0
6:56,0,0
6:58,0,0
7:00,0,0
7:02,0,0
7:04,0,0
7:06,0,0
7:08,0,0
7:10,0,0
7:12,0,0
7:14,0,0
7:16,0,0
7:18,0,0
7:20,0,0
7:22,0,0
7:24,0,0
7:26,0,0
7:28,0,0
7:30,0,0
7:32,0,0
7:34,0,0
7:36,0,0
7:38,0,0
7:40,0,0
7:42,0,0
7:44,0,0
7:46,0,0
7:48,0,0
7:50,0,0
7:52,0,0
7:54,0,0
7:56,0,0
7:58,0,0
8:00,0,0
8:02,0,0
8:04,0,0
8:06,0,0
8:08,0,0
8:10,0,0
8:12,0,0
8:14,0,0
8:16,0,0
8:18,0,0
8:20,0,0
8:22,0,0
8:24,0,0
8:26,0,0
8:28,0,0
8:30,0,0
8:32,0,0
8:34,0,0
8:36,0,0
8:38,0,0
8:40,0,0
8:42,0,0
8:44,0,0
8:46,0,0
8:48,0,0
8:50,0,0
8:52,0,0
8:54,0,0
8:56,0,0
8:58,0,0
9:00,0,0
9:02,0,0
9:04,0,0
9:06,0,0
9:08,0,0
9:10,0,0
9:12,0,0
9:14,0,0
9:16,0,0
9:18,0,0
9:20,0,0
9:22,0,0
9:24,0,0
9:26,0,0
9:28,0,0
9:30,0,0
9:32,0,0
9:34,0,0
9:36,0,0
9:38,0,0
9:40,0,0
9:42,0,0
9:44,0,0
9:46,0,0
9:48,0,0
9:50,0,0
9:52,0,0
9:54,0,0
9:56,0,0
9:58,0,0
10:00,-0.007,-56
10:02,-0.013,-104
10:04,-0.02,-160
10:06,-0.027,-216
10:08,-0.033,-264
10:10,-0.04,-320
10:12,-0.047,-376
10:14,-0.053,-424
10:16,-0.06,-480
10:18,-0.067,-536
10:20,-0.073,-584
10:22,-0.08,-640
10:24,-0.087,-696
10:26,-0.093,-744
10:28,-0.1,-800
10:30,-0.107,-856
10:32,-0.113,-904
10:34,-0.12,-960
10:36,-0.127,-1016
10:38,-0.133,-1064
10:40,-0.14,-1120
10:42,-0.147,-1176
10:44,-0.153,-1224
10:46,-0.16,-1280
10:48,-0.167,-1336
10:50,-0.173,-1384
10:52,-0.18,-1440
10:54,-0.187,-1496
10:56,-0.193,-1544
10:58,-0.2,-1600
11:00,-0.207,-1656
11:02,-0.213,-1704
11:04,-0.22,-1760
11:06,-0.227,-1816
11:08,-0.233,-1864
11:10,-0.24,-1920
11:12,-0.247,-1976
11:14,-0.253,-2024
11:16,-0.26,-2080
11:18,-0.267,-2136
11:20,-0.273,-2184
11:22,-0.28,-2240
11:24,-0.287,-2296
11:26,-0.293,-2344
11:28,-0.3,-2400
11:30,-0.307,-2456
11:32,-0.313,-2504
11:34,-0.32,-2560
11:36,-0.327,-2616
11:38,-0.333,-2664
11:40,-0.34,-2720
11:42,-0.347,-2776
11:44,-0.353,-2824
11:46,-0.36,-2880
11:48,-0.367,-2936
11:50,-0.373,-2984
11:52,-0.38,-3040
11:54,-0.387,-3096
11:56,-0.393,-3144
11:58,-0.4,-3200
12:00,-0.407,-3256
12:02,-0.413,-3304
12:04,-0.42,-3360
12:06,-0.427,-3416
12:08,-0.433,-3464
12:10,-0.44,-3520
12:12,-0.447,-3576
12:14,-0.453,-3624
12:16,-0.46,-3680
12:18,-0.467,-3736
12:20,-0.473,-3784
12:22,-0.48,-3840
12:24,-0.487,-3896
12:26,-0.493,-3944
12:28,-0.5,-4000
12:30,-0.507,-4056
12:32,-0.513,-4104
12:34,-0.52,-4160
12:36,-0.527,-4216
12:38,-0.533,-4264
12:40,-0.54,-4320
12:42,-0.547,-4376
12:44,-0.553,-4424
12:46,-0.56,-4480
12:48,-0.567,-4536
12:50,-0.573,-4584
12:52,-0.58,-4640
12:54,-0.587,-4696
12:56,-0.593,-4744
12:58,-0.6,-4800
13:00,-0.607,-4856
13:02,-0.613,-4904
13:04,-0.62,-4960
13:06,-0.627,-5016
13:08,-0.633,-5064
13:10,-0.64,-5120
13:12,-0.647,-5176
13:14,-0.653,-5224
13:16,-0.66,-5280
13:18,-0.667,-5336
13:20,-0.673,-5384
13:22,-0.68,-5440
13:24,-0.687,-5496
13:26,-0.693,-5544
13:28,-0.7,-5600
13:30,-0.707,-5656
13:32,-0.713,-5704
13:34,-0.72,-5760
13:36,-0.727,-5816
13:38,-0.733,-5864
13:40,-0.74,-5920
13:42,-0.747,-5976
13:44,-0.753,-6024
13:46,-0.76,-6080
13:48,-0.767,-6136
13:50,-0.773,-6184
13:52,-0.78,-6240
13:54,-0.787,-6296
13:56,-0.793,-6344
13:58,-0.8,-6400
14:00,-0.807,-6456
14:02,-0.813,-6504
14:04,-0.82,-6560
14:06,-0.827,-6616
14:08,-0.833,-6664
14:10,-0.84,-6720
14:12,-0.847,-6776
14:14,-0.853,-6824
14:16,-0.86,-6880
14:18,-0.867,-6936
14:20,-0.873,-6984
14:22,-0.88,-7040
14:24,-0.887,-7096
14:26,-0.893,-7144
